week,quantity,price,lakes,collusion,dm1,dm2,dm3,dm4,seas1,seas2,seas3,seas4,seas5,seas6,seas7,seas8,seas9,seas10,seas11,seas12,seas13
1,13632,0.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,20035,0.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,16319,0.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,12603,0.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,23079,0.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,19652,0.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,16211,0.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,22914,0.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,23710,0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,23036,0.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,38414,0.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,46906,0.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,58608,0.35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,51225,0.35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,37339,0.35,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,20298,0.3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,13699,0.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,11944,0.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,10658,0.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,9756,0.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,9546,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,16713,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,16389,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,23179,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,34999,0.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,35267,0.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,20402,0.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,21020,0.3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,16612,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
